type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,100347,Choctaw Mine,Walker,537429,,2013,Point,-87.26689999993238,33.68890000006479
Feature,100515,Mary Lee # 1 Mine,Walker,8400,Refuse coal is included,2013,Point,-87.2542000002295,33.65530000019807
Feature,100759,North River #1 Underground Mine,Fayette,1440115,,2013,Point,-87.60690000020443,33.61059999975709
Feature,100851,Oak Grove Mine,Jefferson,2269014,,2013,Point,-87.13890000012586,33.44219999966218
Feature,101247,No 4 Mine,Tuscaloosa,2622528,,2013,Point,-87.32470000022117,33.336899999904126
Feature,101362,Manchester Mine,Walker,219457,,2013,Point,-87.30720000012128,33.945299999917864
Feature,101401,No 7 Mine,Tuscaloosa,5405412,,2013,Point,-87.24970000030646,33.30500000019516
Feature,102901,Shoal Creek Mine,Jefferson,1453024,,2013,Point,-87.30219999970777,33.51829999985956
Feature,102996,Jap Creek Mine,Walker,375715,,2013,Point,-87.22610000015125,33.71749999976857
Feature,103172,"Searles Mine No. 2, 3, 4, 5, 6",Tuscaloosa,258078,,2013,Point,-87.31080000041905,33.32530000002091
Feature,103179,Fleetwood Mine No 1,Tuscaloosa,75937,,2013,Point,-87.40500000012506,33.238599999649566
Feature,103180,Sloan Mountain Mine,Jefferson,327780,,2013,Point,-86.90420000002867,33.758300000289324
Feature,103182,Fishtrap,Jefferson,175058,,2013,Point,-87.06000000033777,33.58830000001097
Feature,103195,Mccollum/Sparks Branch Mine,Walker,71910,,2013,Point,-87.37220000010726,33.82610000014326
Feature,103246,Bear Creek,Franklin,87587,,2013,Point,-87.60830000032024,34.32500000027469
Feature,103285,Narley Mine,Jefferson,154861,,2013,Point,-86.9107999996762,33.72420000026535
Feature,103303,Shannon Mine,Tuscaloosa,317491,,2013,Point,-87.21325999980797,33.31850999996843
Feature,103321,Poplar Springs,Winston,189370,,2013,Point,-87.41390000041197,34.008299999974206
Feature,103323,Deerlick Mine,Tuscaloosa,133452,,2013,Point,-87.43060000044568,33.31359999982168
Feature,103332,Powhatan Mine,Jefferson,140521,,2013,Point,-87.10360000035047,33.591399999737924
Feature,103342,Reese's Branch Mine,Walker,263888,,2013,Point,-87.27250000039551,33.670800000273495
Feature,103358,Old Union,Winston,284563,,2013,Point,-87.4469000004463,34.022199999929114
Feature,103370,Cresent Valley Mine,Walker,2860,,2013,Point,-87.54749999978333,33.89110000000474
Feature,103372,Cane Creek Mine,Walker,66258,,2013,Point,-87.20972200033282,33.77166599968268
Feature,103375,Johnson Mine,Jefferson,580,,2013,Point,-87.17170000014366,33.34250000010769
Feature,103376,Town Creek,Walker,299167,,2013,Point,-87.03330000037532,33.814999999781506
Feature,103381,Tacoa Highwall Miner,Bibb,56004,,2013,Point,-87.03469999959279,33.1153000000376
Feature,103389,Carbon Hill Mine,Walker,76241,,2013,Point,-87.52609999981004,33.87220000030673
Feature,103404,Reid School Mine,Blount,28807,,2013,Point,-86.70610000026356,33.84360000015422
Feature,103410,Coal Valley Mine,Walker,407841,,2013,Point,-87.4360999995531,33.78220000026761
Feature,103419,Maxine-Pratt Mine,Jefferson,125824,,2013,Point,-87.14059999981731,33.602200000241815
Feature,103422,Clark No 1 Mine,Shelby,122727,,2013,Point,-86.96029999972771,33.19830000014564
Feature,103423,Dutton Hill Mine,Walker,37275,,2013,Point,-87.33940000008946,33.80609999973398
Feature,103432,Skelton Creek,Jefferson,8252,,2013,Point,-87.26529999980005,33.746699999689056
Feature,103433,Crane Central Mine,Jackson,69339,,2013,Point,-85.70694399975193,34.84583299999194
Feature,103436,Swann's Crossing,Tuscaloosa,137511,,2013,Point,-87.30920000028671,33.31079999989276
Feature,103437,Black Warrior Mine No 1,Jefferson,145924,,2013,Point,-86.86189999967434,33.73830000034113
Feature,103451,Knight Mine,Franklin,147499,,2013,Point,-87.61777700019225,34.34249999997766
Feature,103467,Helena Surface Mine,Shelby,59664,,2013,Point,-86.93972199956193,33.19166600007127
Feature,201195,Kayenta Mine,Navajo,7602722,,2013,Point,-110.34170000032196,36.49999999964016
Feature,301569,Penny #1,Sebastian,3973,,2013,Point,-94.33999999966373,35.10029999996829
Feature,301736,Sebastian Mine,Sebastian,54605,,2013,Point,-94.36499999993475,35.00890000000942
Feature,500299,New Horizon Mine,Montrose,216486,,2013,Point,-108.57830000000631,38.27749999975564
Feature,502838,Trapper Mine,Moffat,1944633,,2013,Point,-107.5750000001221,40.4522000002891
Feature,502962,Colowyo Mine,Moffat,2309118,,2013,Point,-107.8303000001264,40.24079999989169
Feature,503505,Deserado Mine,Rio Blanco,1861494,,2013,Point,-108.74639999998519,40.20360000017848
Feature,503672,West Elk Mine,Gunnison,5826798,,2013,Point,-107.43939999968704,38.879700000250175
Feature,503836,Foidel Creek Mine,Routt,7235627,,2013,Point,-107.05440000018478,40.35219999977577
Feature,504591,Bowie No 2 Mine,Delta,3320696,,2013,Point,-107.53999999992237,38.959699999692916
Feature,504674,Elk Creek Mine,Gunnison,436381,,2013,Point,-107.46689999971564,38.934999999850575
Feature,504864,King Ii,La Plata,734993,,2013,Point,-108.13169999990097,37.24639999972139
Feature,1100588,Old Ed #21,Franklin,85196,Refuse coal is included,2013,Point,-88.9991999999217,38.12419999971129
Feature,1100726,Shay #1 Mine,Macoupin,739514,,2013,Point,-89.96894699957761,39.17775700007602
Feature,1102408,Gateway Mine,Randolph,2834382,,2013,Point,-89.63750000016114,38.16640000014047
Feature,1102632,Crown Iii Mine,Macoupin,930272,,2013,Point,-89.74719999980161,39.42969999972731
Feature,1102636,Wfi,Saline,5070,Refuse coal is included,2013,Point,-88.70000000032907,37.79166599978579
Feature,1102664,Viper Mine,Sangamon,2281446,,2013,Point,-89.5006000000677,39.95439999988157
Feature,1102752,The American Coal Company New,Saline,4419659,,2013,Point,-88.6358142611644,37.85893274321179
Feature,1103017,Wildcat Hills Mine - Cottage G,Gallatin,2016232,,2013,Point,-88.23538000044019,37.61921000030087
Feature,1103020,Creek Paum Mine,Jackson,35522,,2013,Point,-89.42110000022998,37.93059999982639
Feature,1103045,Red Hawk,Perry,539118,,2013,Point,-89.31669999968038,37.95420000030762
Feature,1103058,Pattiki,White,2596801,,2013,Point,-88.10280000034471,38.06609999994867
Feature,1103064,Friendsville Mine,Wabash,1252092,,2013,Point,-87.84000000016931,38.41860000004195
Feature,1103141,Mach #1 Mine,Williamson,6694630,,2013,Point,-88.78780000040408,37.8383000002859
Feature,1103143,Prairie Eagle,Perry,158575,,2013,Point,-89.58920000020888,38.07189999989177
Feature,1103147,Prairie Eagle-Underground,Perry,2274984,,2013,Point,-89.58330000017008,38.07169999991614
Feature,1103156,Wildcat Hills Mine-Underground,Saline,1579031,,2013,Point,-88.37500000039927,37.791699999883
Feature,1103182,Deer Run Mine,Montgomery,4845308,,2013,Point,-89.4667000004081,39.144999999947565
Feature,1103189,Mc#1 Mine,Franklin,6493536,,2013,Point,-88.76220000008344,38.026899999691615
Feature,1103193,Lively Grove Mine,Washington,4629720,,2013,Point,-89.65469999978704,38.28329999994072
Feature,1103203,White Oak Mine No. 1,Hamilton,185566,,2013,Point,-88.99722200039591,38.28861099965026
Feature,1103205,Prairie Eagle South Underground,Perry,491476,,2013,Point,-89.57720000011473,38.043599999771494
Feature,1103212,Eagle River Coal Llc Mine No 1,Saline,694608,,2013,Point,-88.54059999972223,37.73829999990801
Feature,1103226,Hawkeye Mine,Randolph,340077,,2013,Point,-89.70419999983854,38.073899999979155
Feature,1103232,New Future Mine,Saline,5450222,,2013,Point,-88.63580000040926,37.85940000004917
Feature,1103241,Jordan,Perry,23557,,2013,Point,-89.56777699977107,37.99305499967808
Feature,1103248,Black Hawk,Randolph,640865,,2013,Point,-89.60055500004758,38.08944399981146
Feature,1103254,Fidelity Mine,Perry,18532,Refuse coal is included,2013,Point,-89.3166660002435,38.00000000021165
Feature,1201946,Viking Mine - Corning Pit,Daviess,1114914,,2013,Point,-86.99999999986701,38.60939999986023
Feature,1202167,Freelandville Mine,Knox,130715,,2013,Point,-87.28940000044577,38.87500000027918
Feature,1202207,Somerville,Gibson,587931,,2013,Point,-87.34859999995204,38.30279999980379
Feature,1202215,Gibson Mine,Gibson,3938521,,2013,Point,-87.61109999965348,38.37639999969719
Feature,1202226,Collie Pond Co,Vigo,21904,,2013,Point,-87.32083299995975,39.36194400030106
Feature,1202249,Prosperity Mine,Pike,1795632,,2013,Point,-87.39919999964536,38.49029999977898
Feature,1202258,Somerville Central Mine,Gibson,2607983,,2013,Point,-87.37220000010726,38.27500000027179
Feature,1202295,Francisco Underground Pit,Gibson,2914792,,2013,Point,-87.43279999972931,38.33559999989707
Feature,1202316,Freelandville Underground,Knox,16273,,2013,Point,-87.26121559017186,38.86940925252825
Feature,1202325,Hurricane Creek,Gibson,234638,,2013,Point,-87.2499999998821,38.28333299972654
