type,properties/plant_code,properties/PLANT_NAME,properties/UTILITY_ID,properties/UTILITY_NA,properties/primary_fu,total_cap,properties/cap_coal,properties/cap_ng,properties/cap_pet,properties/cap_otherf,properties/cap_nuc,properties/cap_bio,properties/cap_geo,properties/cap_hydro,properties/cap_pump,properties/cap_solar,properties/cap_wind,properties/cap_wood,properties/cap_other,properties/Capacity_b,properties/producer_t,properties/Source,properties/PrimaryFue,geometry/type,lon,lat
Feature,2,Bankhead Dam,195,Alabama Power Co,HYC,56,0,0,0,,0,,,56,0,0,0,,,Hydro = 56 MW,Electric Utility,EIA,Hydroelectric,Point,-87.35682300019644,33.45866500020739
Feature,3,Barry,195,Alabama Power Co,COAL,2574.5,1612.5,962,0,,0,,,0,0,0,0,,,Coal = 1612.5 MW  Natural Gas = 962 MW,Electric Utility,EIA,Coal,Point,-88.01030000033016,31.00690000034251
Feature,4,Walter Bouldin Dam,195,Alabama Power Co,HYC,225.9,0,0,0,,0,,,225.9,0,0,0,,,Hydro = 225.9 MW,Electric Utility,EIA,Hydroelectric,Point,-86.28305599993253,32.583889000232226
Feature,7,Gadsden,195,Alabama Power Co,COAL,130,130,0,0,,0,,,0,0,0,0,,,Coal = 130 MW,Electric Utility,EIA,Coal,Point,-85.97080000008653,34.012799999818654
Feature,8,Gorgas,195,Alabama Power Co,COAL,1241,1241,0,0,,0,,,0,0,0,0,,,Coal = 1241 MW,Electric Utility,EIA,Coal,Point,-87.19648600015441,33.64434400023378
Feature,9,Copper,5701,El Paso Electric Co,NG,62,0,62,0,,0,,,0,0,0,0,,,Natural Gas = 62 MW,Electric Utility,EIA,Natural Gas,Point,-106.37499999969026,31.756899999934742
Feature,10,Greene County,195,Alabama Power Co,NG,1237,497,740,0,,0,,,0,0,0,0,,,Coal = 497 MW  Natural Gas = 740 MW,Electric Utility,EIA,Natural Gas,Point,-87.78110000023868,32.60169999984375
Feature,11,H Neely Henry Dam,195,Alabama Power Co,HYC,70,0,0,0,,0,,,70,0,0,0,,,Hydro = 70 MW,Electric Utility,EIA,Hydroelectric,Point,-86.05239999964878,33.78450000003569
Feature,12,Holt Dam,195,Alabama Power Co,HYC,45,0,0,0,,0,,,45,0,0,0,,,Hydro = 45 MW,Electric Utility,EIA,Hydroelectric,Point,-87.44949999976303,33.255300000365544
Feature,13,Jordan Dam,195,Alabama Power Co,HYC,100,0,0,0,,0,,,100,0,0,0,,,Hydro = 100 MW,Electric Utility,EIA,Hydroelectric,Point,-86.2548000002187,32.61889999989926
Feature,14,Logan Martin Dam,195,Alabama Power Co,HYC,135,0,0,0,,0,,,135,0,0,0,,,Hydro = 135 MW,Electric Utility,EIA,Hydroelectric,Point,-86.33754700017674,33.42587799977459
Feature,15,Lay Dam,195,Alabama Power Co,HYC,178.8,0,0,0,,0,,,178.8,0,0,0,,,Hydro = 178.8 MW,Electric Utility,EIA,Hydroelectric,Point,-86.51870000003593,32.96330000030812
Feature,16,Martin Dam,195,Alabama Power Co,HYC,186,0,0,0,,0,,,186,0,0,0,,,Hydro = 186 MW,Electric Utility,EIA,Hydroelectric,Point,-85.91144200039653,32.68039400026273
Feature,17,Mitchell Dam,195,Alabama Power Co,HYC,165.9,0,0,0,,0,,,165.9,0,0,0,,,Hydro = 165.9 MW,Electric Utility,EIA,Hydroelectric,Point,-86.44489199982453,32.80602499982953
Feature,18,Lewis Smith Dam,195,Alabama Power Co,HYC,180,0,0,0,,0,,,180,0,0,0,,,Hydro = 180 MW,Electric Utility,EIA,Hydroelectric,Point,-87.1077000002404,33.94060000001465
Feature,19,Thurlow Dam,195,Alabama Power Co,HYC,78,0,0,0,,0,,,78,0,0,0,,,Hydro = 78 MW,Electric Utility,EIA,Hydroelectric,Point,-85.88761399973735,32.53543599990094
Feature,20,Weiss Dam,195,Alabama Power Co,HYC,74.1,0,0,0,,0,,,74.1,0,0,0,,,Hydro = 74.1 MW,Electric Utility,EIA,Hydroelectric,Point,-85.75380599995356,34.172142000108224
