,lon,lat,class,oilgas,zoom
190,-89.3996844,29.03744600000001,DC,GAS,1.0
191,-92.5848703,32.6962561,DC,GAS,2.0
192,-99.1423203,26.5801745,DC,GAS,4.0
193,-99.1385765,26.5717018,DC,GAS,0.0
194,-96.1445835,31.5707876,DC,GAS,2.0
195,-94.3327182,32.1703316,DC,GAS,0.0
196,-104.823349,36.9900513,DC,GAS,3.0
197,-107.4363632,36.9136505,DC,GAS,3.0
198,-107.4888458,36.92691420000001,DC,GAS,2.0
199,-104.5715027,32.4460869,DC,GAS,0.0
200,-103.4487915,32.9503174,DC,GAS,0.0
201,-104.5360794,32.4410973,DC,GAS,0.0
202,-91.5181675,29.620211800000003,DC,GAS,1.0
203,-107.4435806,36.9035683,DC,GAS,0.0
204,-107.4784775,36.8982849,DC,GAS,4.0
205,-93.0074002,29.683862800000004,DC,GAS,2.0
206,-90.7742586,29.7893751,DC,GAS,3.0
207,-89.2677879,29.387541100000004,DC,GAS,4.0
208,-107.4657669,36.9019814,DC,GAS,3.0
209,-91.033154,29.5513241,DC,GAS,0.0
210,-91.6851131,30.2418649,DC,GAS,1.0
211,-91.0881557,29.6388213,DC,GAS,1.0
212,-93.620832,32.3827786,DC,GAS,0.0
213,-89.57788670000002,29.3704317,DC,GAS,0.0
214,-92.3166469,29.985554,DC,GAS,4.0
215,-103.1604156,32.6936874,DC,GAS,4.0
216,-104.521286,32.4563141,DC,GAS,0.0
217,-90.7692584,29.7813198,DC,GAS,0.0
218,-91.6072805,30.047191,DC,GAS,0.0
219,-92.9633328,32.4033343,DC,GAS,4.0
220,-92.9531511,32.1844853,DC,GAS,0.0
221,-89.3939373,28.94357,DC,GAS,0.0
222,-89.1789375,29.12467,DC,GAS,1.0
223,-93.0212722,32.4529319,DC,GAS,0.0
224,-91.622526,30.7132998,DC,GAS,1.0
225,-90.3445355,29.2762854,DC,GAS,1.0
226,-104.4979019,32.4723969,DC,GAS,0.0
227,-104.96836090000002,36.9616852,DC,GAS,0.0
228,-93.4322075,32.4208732,DC,GAS,0.0
229,-93.2973894,32.498488,DC,GAS,1.0
230,-93.0146089,32.4498703,DC,GAS,1.0
231,-90.6167568,29.4683548,DC,GAS,0.0
232,-93.6194447,32.3874995,DC,GAS,0.0
233,-92.9638396,32.3095227,DC,GAS,4.0
234,-90.6473124,29.0874544,DC,GAS,0.0
235,-91.9703079,29.9715458,DC,GAS,3.0
236,-103.9417343,32.316402399999994,DC,GAS,1.0
237,-107.55921940000002,36.6229134,DC,GAS,1.0
238,-104.5104904,32.4588737,DC,GAS,0.0
239,-107.55921940000002,36.6229134,DC,GAS,4.0
240,-108.1125793,36.9814034,DC,GAS,1.0
241,-93.1546099,32.5207081,DC,GAS,1.0
242,-89.2945948,29.4503119,DC,GAS,1.0
243,-105.109726,36.8868599,DC,GAS,0.0
244,-89.3958407,29.1145707,DC,GAS,0.0
245,-91.1164902,29.477132,DC,GAS,1.0
246,-93.1112735,32.503765200000004,DC,GAS,4.0
247,-92.7973686,30.079375899999995,DC,GAS,0.0
248,-89.6864462,30.0451998,DC,GAS,0.0
249,-103.1577835,32.431228600000004,DC,GAS,1.0
250,-107.71374509999998,36.7062263,DC,GAS,1.0
251,-104.5099106,32.4588776,DC,GAS,0.0
252,-107.69522859999998,36.7874298,DC,GAS,0.0
253,-93.014224,32.4463528,DC,GAS,4.0
254,-93.5034063,29.791473100000005,DC,GAS,4.0
255,-90.7142569,29.734654700000004,DC,GAS,0.0
256,-90.7673125,29.2071715,DC,GAS,1.0
257,-89.34091070000002,29.0050139,DC,GAS,1.0
258,-91.7926222,29.8223696,DC,GAS,0.0
259,-89.352275,29.1896689,DC,GAS,0.0
260,-91.5209453,29.616878600000003,DC,GAS,4.0
261,-103.1981735,32.7391243,DC,GAS,0.0
262,-107.2967453,36.8080139,DC,GAS,0.0
263,-107.3695297,36.8965721,DC,GAS,0.0
264,-98.462524,26.4688884,DC,GAS,3.0
265,-99.1255301,27.113704100000003,DC,GAS,0.0
266,-99.3774883,27.2136247,DC,GAS,3.0
267,-99.1799007,27.0503622,DC,GAS,3.0
268,-99.1250101,27.6401493,DC,GAS,1.0
269,-94.7712123,32.4973424,DC,GAS,0.0
270,-118.110578,34.026534000000005,DC,GAS,1.0
271,-118.377285,34.075433000000004,DC,GAS,0.0
272,-118.564152,34.315,DC,GAS,0.0
273,-119.152999,34.424112,DC,GAS,0.0
274,-118.87386200000002,34.473461,DC,GAS,0.0
275,-119.106818,34.43134000000001,DC,GAS,4.0
276,-119.113553,34.431843,DC,GAS,1.0
277,-119.820568,34.417695,DC,GAS,1.0
278,-119.834305,34.419625,DC,GAS,3.0
279,-119.822283,34.420018,DC,GAS,3.0
280,-119.633198,35.324224,DC,GAS,2.0
281,-119.405679,35.267154,DC,GAS,0.0
282,-120.270817,36.208636,DC,GAS,3.0
283,-121.887391,38.072295,DC,GAS,1.0
284,-118.110529,34.026528000000006,DC,GAS,2.0
285,-118.296411,34.026308,DF,GAS,3.0
286,-118.44094,33.962545,DC,GAS,0.0
287,-118.362392,34.051371,DC,GAS,0.0
288,-118.110335,34.026523,DC,GAS,2.0
289,-118.11048,34.02653,DC,GAS,0.0
290,-118.109739,34.02649,DC,GAS,0.0
291,-117.94576200000002,33.625785,DF,GAS,0.0
292,-118.549359,34.310461,DC,GAS,0.0
293,-118.69984,34.435519,DC,GAS,0.0
294,-118.601391,34.450961,DC,GAS,1.0
295,-118.789258,34.375844,DC,GAS,0.0
296,-119.152559,34.425509000000005,DC,GAS,0.0
297,-119.126378,34.429705,DC,GAS,0.0
298,-119.823957,35.016784,DC,GAS,0.0
299,-119.834218,34.419613,DC,GAS,2.0
300,-119.452461,35.274104,DC,GAS,2.0
301,-119.42834,35.252574,DC,GAS,1.0
302,-119.388468,35.281193,DC,GAS,1.0
303,-119.43231000000002,35.27881400000001,DC,GAS,1.0
304,-119.4169,35.262094,DC,GAS,1.0
305,-121.655592,38.001208,DC,GAS,1.0
306,-124.148058,40.632897,DC,GAS,4.0
307,-121.692359,38.118961,DC,GAS,4.0
308,-122.011976,38.075135,DC,GAS,0.0
309,-121.686511,38.161491,DC,GAS,3.0
310,-118.437274,33.963331,DC,GAS,0.0
311,-119.50513,35.27947,DC,GAS,4.0
